# Class red_S1 blue_S1 green_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 NDVI_S1 LAI_S1 rain_S1 red_S2 blue_S2 green_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 NDVI_S2 LAI_S2 rain_S2 red_S3 blue_S3 green_S3 nir_S3 swir_1_S3 swir_2_S3 red_edge_1_S3 red_edge_2_S3 red_edge_3_S3 NDVI_S3 LAI_S3 rain_S3 slope
1.000000 0.120521 0.073829 0.106929 0.293751 0.347347 0.265534 0.174906 0.256836 0.287165 0.419153 0.953537 543.812134 0.154292 0.087256 0.119806 0.291295 0.401418 0.330886 0.205078 0.252463 0.280904 0.307549 0.675230 65.243896 0.197830 0.117097 0.154406 0.326997 0.477492 0.420853 0.245965 0.297586 0.324486 0.246195 0.596240 844.120178 3.004626
1.000000 0.081192 0.062219 0.086625 0.231940 0.265422 0.173417 0.128083 0.202957 0.228654 0.485711 0.983625 553.368958 0.070659 0.049230 0.058998 0.116103 0.228692 0.170520 0.084549 0.102100 0.114222 0.248666 0.240970 54.817219 0.079031 0.059006 0.067001 0.113284 0.266279 0.206551 0.090102 0.099051 0.108962 0.177438 0.151418 781.511292 3.173239
1.000000 0.082715 0.054143 0.084679 0.273044 0.295039 0.212752 0.132507 0.242202 0.279421 0.534992 1.144509 551.566162 0.135387 0.070620 0.096652 0.217399 0.369659 0.291320 0.166025 0.188228 0.210052 0.231331 0.375952 54.961674 0.170008 0.096966 0.126017 0.240779 0.450973 0.392526 0.198967 0.216602 0.236484 0.171952 0.308330 780.883911 2.946278
1.000000 0.083824 0.060630 0.084694 0.210551 0.250148 0.166503 0.129022 0.191003 0.212814 0.436662 0.798866 551.734314 0.104542 0.069254 0.086406 0.172833 0.288249 0.211717 0.131258 0.152904 0.171027 0.246263 0.345760 55.372604 0.086089 0.065193 0.074847 0.127110 0.264234 0.202367 0.102340 0.111725 0.125886 0.190773 0.201741 781.464722 3.004626
1.000000 0.154779 0.066260 0.104623 0.277759 0.348119 0.295834 0.199572 0.259161 0.282248 0.279653 0.522923 458.725616 0.155405 0.064451 0.100694 0.274558 0.369313 0.324239 0.201231 0.249981 0.271798 0.281386 0.519942 90.165657 0.165522 0.072970 0.108339 0.281409 0.377296 0.331524 0.211016 0.259076 0.280301 0.262919 0.499309 629.517578 2.946278
1.000000 0.145783 0.062118 0.098581 0.263114 0.336951 0.278428 0.193846 0.247203 0.266374 0.281404 0.506733 458.830872 0.141175 0.058367 0.092707 0.250165 0.337433 0.281294 0.185956 0.233583 0.252263 0.279508 0.487262 89.196747 0.158816 0.069127 0.102465 0.263970 0.369164 0.309733 0.203780 0.243500 0.262688 0.246503 0.435915 634.540833 19.110134
1.000000 0.115178 0.080049 0.102968 0.237413 0.377844 0.280445 0.157035 0.213482 0.240379 0.351714 0.726379 475.764038 0.116249 0.072804 0.100252 0.267060 0.393361 0.288311 0.165556 0.231914 0.261543 0.389028 0.851923 101.014816 0.131186 0.091846 0.119142 0.271085 0.397359 0.301598 0.179609 0.242227 0.272009 0.343284 0.806079 815.178955 1.127961
1.000000 0.106035 0.066059 0.098645 0.276316 0.310273 0.213580 0.159585 0.243131 0.273267 0.445352 0.968869 490.053284 0.169197 0.098354 0.127444 0.251818 0.406011 0.338909 0.196217 0.218963 0.238638 0.196242 0.370644 45.868958 0.195027 0.124261 0.153809 0.272058 0.476972 0.433364 0.223553 0.243624 0.264219 0.164919 0.343343 554.344116 1.317616
1.000000 0.108228 0.066796 0.101545 0.296803 0.357807 0.266264 0.179269 0.265270 0.298982 0.465582 1.033503 624.398315 0.137234 0.076494 0.104895 0.250256 0.388252 0.302680 0.177399 0.217847 0.245347 0.291678 0.570467 55.893421 0.202612 0.131519 0.161854 0.306986 0.482714 0.406236 0.237251 0.276802 0.301590 0.205391 0.503451 602.763977 0.833333
1.000000 0.095813 0.057915 0.084451 0.216284 0.286924 0.236462 0.135524 0.193336 0.211693 0.374534 0.657033 359.121063 0.100972 0.058000 0.076933 0.192642 0.311813 0.274546 0.130807 0.169986 0.188584 0.318385 0.523524 173.431610 0.092122 0.061053 0.077894 0.166080 0.269404 0.243792 0.113938 0.148001 0.161959 0.281957 0.394349 577.965942 3.584302
